IMGFILE,LANG,NAME,AUDIO
dog.png,EN,Dog,dog_en.mp3
dog.png,RU,Собака,dog_ru.mp3
dog.png,ES,Perro,dog_es.mp3
dog.png,FR,Chien,dog_fr.mp3
car.png,EN,Car,car_en.mp3
car.png,RU,Машина,car_ru.mp3
car.png,ES,Coche,car_es.mp3
car.png,FR,Voiture,car_fr.mp3
cat.png,EN,Cat,cat_en.mp3
cat.png,RU,Кошка,cat_ru.mp3
cat.png,ES,Gato,cat_es.mp3
cat.png,FR,Chat,cat_fr.mp3
bird.png,EN,Bird,bird_en.mp3
bird.png,RU,Птичка,bird_ru.mp3
bird.png,ES,Pájaro,bird_es.mp3
bird.png,FR,Oiseau,bird_fr.mp3
ball.png,EN,Ball,ball_en.mp3
ball.png,RU,Мяч,ball_ru.mp3
ball.png,ES,Pelota,ball_es.mp3
ball.png,FR,Balle,ball_fr.mp3
fish.png,EN,Fish,fish_en.mp3
fish.png,RU,Рыба,fish_ru.mp3
fish.png,ES,Pescado,fish_es.mp3
fish.png,FR,Poisson,fish_fr.mp3
elephant.png,EN,Elephant,elephant_en.mp3
elephant.png,RU,Слон,elephant_ru.mp3
elephant.png,ES,Elefante,elephant_es.mp3
elephant.png,FR,éléphant,elephant_fr.mp3
mouth.png,EN,Mouth,mouth_en.mp3
mouth.png,RU,Рот,mouth_ru.mp3
mouth.png,ES,Boca,mouth_es.mp3
mouth.png,FR,Bouche,mouth_fr.mp3
eye.png,EN,Eye,eye_en.mp3
eye.png,RU,Глаз,eye_ru.mp3
eye.png,ES,Ojo,eye_es.mp3
eye.png,FR,œil,eye_fr.mp3
ear.png,EN,Ear,ear_en.mp3
ear.png,RU,Ухо,ear_ru.mp3
ear.png,ES,Oído,ear_es.mp3
ear.png,FR,Oreille,ear_fr.mp3
hand.png,EN,Hand,hand_en.mp3
hand.png,RU,Рука,hand_ru.mp3
hand.png,ES,Mano,hand_es.mp3
hand.png,FR,Main,hand_fr.mp3
banana.png,EN,Banana,banana_en.mp3
banana.png,RU,Банан,banana_ru.mp3
banana.png,ES,Banana,banana_es.mp3
banana.png,FR,Banane,banana_fr.mp3
