BaseName,ImageLocation
dog,https://openclipart.org/download/213982/Hund.svg
cat,https://openclipart.org/download/220344/Cat-Pose-2-2015060816.svg
bird,https://openclipart.org/download/182180/flying-dove.svg
monkey,https://openclipart.org/download/222385/Cartoon-Monkey.svg
elephant,https://openclipart.org/download/171806/Elephant.svg
giraffe,https://openclipart.org/download/6958/SteveLambert-Giraffe.svg
horse,https://openclipart.org/download/201977/horse-brown400px.svg
lion,https://openclipart.org/download/31051/leone-01-architetto-fran-01.svg
frog,https://openclipart.org/download/2112/molumen-Green-sitting-frog.svg
fish,https://openclipart.org/download/181437/Fish02.svg
icecream,https://openclipart.org/download/176487/icecream-cone.svg
pizza,https://openclipart.org/download/183841/Pizza-Slice-in-Tango-Colors.svg
sandwich,https://openclipart.org/download/36199/sandwich.svg
soup,https://openclipart.org/download/182964/Soup.svg
frenchfries,https://openclipart.org/download/149623/fries.svg
egg,https://openclipart.org/download/76711/egg.svg
cake,https://openclipart.org/download/109729/1295719197.svg
milk,https://openclipart.org/download/27982/hank0071-Milkbox.svg
water,https://openclipart.org/download/193470/1400102704.svg
juice,https://openclipart.org/download/170014/orange-juice-orange-outline-triple.svg
apple,https://openclipart.org/download/183893/simple-apple.svg
orangefruit,https://openclipart.org/download/8537/Gerald-G-Simple-Fruit-FF-Menu-4.svg
grapes,https://openclipart.org/download/17012/jean-victor-balin-grape.svg
peach,https://openclipart.org/download/132013/peach.svg
banana,https://openclipart.org/download/189457/banana-bananas.svg
pear,https://openclipart.org/download/169007/pera.svg
cherry,https://openclipart.org/download/214676/Kirschen.svg
tomato,https://openclipart.org/download/204590/1416249767.svg
strawberry,https://openclipart.org/download/209684/food-strawberry.svg
cucumber,https://openclipart.org/download/175417/1362251712.svg
carrot,https://openclipart.org/download/209536/food-carrot.svg
toycar,https://openclipart.org/download/205745/Simpletoycar-mobraingames.svg
ball,https://openclipart.org/download/20151/rg1024-beach-ball.svg
television,https://openclipart.org/download/137809/hdtv.svg
telephone,https://openclipart.org/download/166581/nokia-C7.svg
doll,https://openclipart.org/download/16215/newtonguarinof-Little-Doll.svg
teddy,https://openclipart.org/download/49003/1271715083.svg
book,https://openclipart.org/download/27078/egore911-book.svg
glasses,https://openclipart.org/download/4155/geni-glasses.svg
toothbrush,https://openclipart.org/download/8253/Gerald-G-Toothbrush-and-toothpaste.svg
one,https://openclipart.org/download/203532/number-1.svg
two,https://openclipart.org/download/203533/number-2.svg
three,https://openclipart.org/download/203534/number-3.svg
four,https://openclipart.org/download/203535/number-4.svg
five,https://openclipart.org/download/203536/number-5.svg
six,https://openclipart.org/download/203537/number-6.svg
seven,https://openclipart.org/download/203543/1414080898.svg
eight,https://openclipart.org/download/203544/number-8.svg
nine,https://openclipart.org/download/203545/number-9.svg
ten,https://openclipart.org/download/203546/number-10.svg
eye,https://openclipart.org/download/27540/secretlondon-Green-eye.svg
mouth,https://openclipart.org/download/17424/xeolhades-mouth.svg
ear,https://openclipart.org/download/204863/Ohr2.svg
hand,https://openclipart.org/download/190977/Hand-Open-Cartoony.svg
foot,https://openclipart.org/download/66679/1276475020.svg
fingers,https://openclipart.org/download/127741/paix.svg
toes,https://openclipart.org/download/177924/1368138391.svg
shoes,https://openclipart.org/download/167307/turnschuh.svg
wellies,https://openclipart.org/download/196247/Wellies.svg
dress,https://openclipart.org/download/34981/vestito-rosa.svg
trousers,https://openclipart.org/download/213788/Hose.svg
sweater,https://openclipart.org/download/213608/Pullover.svg
shorts,https://openclipart.org/download/64975/colorful-beach-shorts.svg
skirt,
socks,
coat,https://openclipart.org/download/192065/AlanSpeak-Jacket.svg
tshirt,https://openclipart.org/download/86767/TShirtBlue.svg
scarf,
hat,
car,https://openclipart.org/download/118531/1297818301.svg
bike,https://openclipart.org/download/2838/Machovka-bike.svg
motorbike,https://openclipart.org/download/3669/MeNext-Motorbike.svg
tractor,https://openclipart.org/download/191654/1394322887.svg
lorry,https://openclipart.org/download/185377/Dump-truck.svg
aeroplane,https://openclipart.org/download/141961/airplane.svg
helicopter,https://openclipart.org/download/172801/helicopter.svg
train,
boat,https://openclipart.org/download/24418/Jarno-Boat-1.svg
bus,https://openclipart.org/download/17291/thilakarathna-Bus.svg
scooter,https://openclipart.org/download/213393/kick-scouter3.svg
sun,https://openclipart.org/download/170678/sunny.svg
moon,https://openclipart.org/download/170670/half-moon.svg
star,https://openclipart.org/download/28969/lesnivila-Stars-in-the-Night.svg
rain,https://openclipart.org/download/170671/heavy-rain.svg
rainbow,https://openclipart.org/download/67453/Rainbow.svg
snow,https://openclipart.org/download/170676/snowy.svg
tree,https://openclipart.org/download/190682/Trace-Tree.svg
flower,https://openclipart.org/download/68725/1277568265.svg
red,https://openclipart.org/download/117253/1297044906.svg
blue,
yellow,
green,
orange,
black,
white,
purple,
pink,
brown,
umbrella,https://openclipart.org/download/170637/1339577112.svg
